Author,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
,239,0.4623655913978495,0.22917756466143563,0.6848471090029031,0.18318550219597501,0
D5-3,3,0.021505376344086023,8.718395815170008e-05,0.094327888186317,0.011014647270328377,0
A5-5,2,0.010752688172043012,5.812263876780006e-05,4.574151281874992e-23,0.010242769959151311,35
PH3-10,3,0.016129032258064516,0.005172914850334205,0.07894480385083884,0.008140319580150308,68
C6-2,2,0.016129032258064516,2.906131938390003e-05,0.0853191155868755,0.00791230695637126,32
G5-4,2,0.016129032258064516,2.906131938390003e-05,0.0853191155868755,0.00791230695637126,0
E2-4,2,0.016129032258064516,2.906131938390003e-05,0.0853191155868755,0.00791230695637126,39
PH1-15,2,0.016129032258064516,2.906131938390003e-05,0.0853191155868755,0.00791230695637126,0
PH3-8,2,0.016129032258064516,5.812263876780006e-05,0.08540325309520813,0.007792346528177519,68
F5-2,2,0.016129032258064516,2.906131938390003e-05,0.08614077730209052,0.007686285150642275,3
C4-3,2,0.016129032258064516,2.906131938390003e-05,0.08614077730209052,0.007686285150642275,3
D5-2,2,0.016129032258064516,2.906131938390003e-05,0.08697988933886529,0.007606117806558567,0
C2-3,2,0.010752688172043012,0.0,0.07731167586407883,0.007364204073799976,0
C3-1,2,0.010752688172043012,0.0,0.07731167586407883,0.007364204073799976,0
PT2-5,2,0.016129032258064516,0.005172914850334205,0.07812392818303694,0.0073082343229411775,43
B4-5,2,0.016129032258064516,0.005172914850334205,0.07812392818303694,0.0073082343229411775,4
PH3-6,2,0.016129032258064516,0.005172914850334205,0.07812392818303694,0.0073082343229411775,0
PT4-10,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,37
G7-3,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,62
PT3-15,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,82
F2-5,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,85
PH2-16,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,10
E6-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,59
PH2-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,61
PT2-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,61
PT3-5,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,75
金丸敏幸 (京大),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,15
C8-2○,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,9
A6-4,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,66
渡邊友香 (国語研),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,48
西川賢哉,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,48
F4-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,49
PT4-5,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,33
PH4-8,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,75
松本裕治 (理研),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,72
(産総研),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,52
C6-5,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,6
PT4-12,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,6
C8-3,3,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,9
PH3-4,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,10
PH3-14,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,49
A7-1,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,88
田川拓海 (筑波大),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,15
D6-5,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,62
渡辺太郎 (NAIST),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,72
PH3-7,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,85
PT2-14,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,82
PT4-7,3,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,88
A8-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,66
奥村学 (東工大),1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,52
F7-2,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,37
E5-4,1,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,59
A5-3,2,0.005376344086021506,0.0,7.602511313637893e-26,0.007044734061289183,33
Labs),1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
水本智也 (フューチャー/理研),1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
乾健太郎,1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
鈴木潤,1,0.016129032258064516,0.0,6.530507491908949e-16,0.007044734061289179,23
E6-1,2,0.010752688172043012,0.0,0.07731167586407883,0.006105144982838855,46
PH4-12,2,0.010752688172043012,0.0,0.07731167586407883,0.006105144982838855,46
PT3-4○,1,0.005376344086021506,0.0,3.234413389586946e-23,0.005445716112358119,35
B7-3,1,0.005376344086021506,0.0,3.234413389586946e-23,0.005445716112358119,35
B7-1,1,0.010752688172043012,0.0,0.07739407281115551,0.004716237606784121,0
F6-5,2,0.010752688172043012,0.0,0.07739407281115551,0.004716237606784121,4
PH1-3,2,0.010752688172043012,0.0,0.07739407281115551,0.004716237606784121,43
PT3-7,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
B3-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PT4-3,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,67
PH4-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,13
PH4-7,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,36
PT3-3○,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,16
PH1-13,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
C6-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
E6-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
E5-3,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,25
E4-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,8
C7-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,38
B4-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,21
C6-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,30
C6-4,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PT2-4○,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,45
F2-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,51
E2-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,28
PT1-8,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,93
E2-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PH1-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
B2-5,3,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,84
A3-1○,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PT2-6,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,17
D5-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PH4-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222564,0
PH1-7,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
B4-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,21
F3-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,84
F4-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,51
A5-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
B6-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,17
PH3-1,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,16
PT1-16,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,13
C5-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
G2-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,8
B3-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
E3-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
PH4-10,2,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
PT1-13,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,93
D5-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
PH3-11,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,67
PT3-4,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
D3-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,45
E3-2,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
PH3-9,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
PT3-14,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,38
E6-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,36
PT1-17,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,0
F5-3,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,30
C4-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,28
B5-5,1,0.010752688172043012,0.0,0.07731167586407883,0.004600980398222563,25
PT4-8,2,0.005376344086021506,0.0,0.008008314504205402,0.004516347677725949,68
C3-5○,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,39
B5-2,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,32
C5-2,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,0
C3-5,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,39
C5-1,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,0
PH2-8,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,0
B4-1,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,0
PT4-17,1,0.010752688172043012,0.0,0.07812392818303694,0.00432692895693692,32
G4-1,1,0.010752688172043012,0.0,0.0781324627978851,0.0043014356113570355,68
B5-1,1,0.010752688172043012,0.0,0.07820727964395648,0.004278899321380264,3
E4-1,1,0.010752688172043012,0.0,0.07820727964395648,0.004278899321380264,3
PH1-10,1,0.010752688172043012,0.0,0.07829240132400908,0.004261863759842861,0
E4-4,1,0.010752688172043012,0.0,0.07903775723504286,0.004205972090557624,0
PT2-7○,1,0.010752688172043012,0.0,0.07903775723504286,0.004205972090557624,0
F8-3,1,0.005376344086021506,0.0,0.007925042775719987,0.0031273839770107658,4
E5-1○,1,0.005376344086021506,0.0,0.007925042775719987,0.0031273839770107658,43
D8-3,1,0.005376344086021506,0.0,0.007925042775719987,0.0031273839770107658,0
の再帰的構造把握能力の調査,1,0.0,0.0,8.850488012700682e-36,0.0010567101091933844,94
