Community_ID,Size,Avg_Papers,Top_Authors
0,1,1.0,相田 太一D1-1○
1,5,1.4,"B9-3, P6-1, 工藤 紀子B9-2, 川端 京子B9-2, 藤牧 貴子B9-2"
2,4,1.0,"トヤ外山 勝彦E5-1, Q1-5, B8-3, A6-3"
3,9,1.0,"P6-11, Q5-2, Q10-15, Q10-19, Q10-17"
4,1,1.0,吉田 尚水Q4-5
5,1,1.0,C1:言語資源・アノテーションと評価
6,6,1.1666666666666667,"P10-5, P9-10, P9-19, 佐藤 志貴D4-2, ヘン邊土名 朝飛D4-2○"
7,1,1.0,オキ沖村 宰B4-3
8,1,1.0,小野 雄一P3-6
9,4,1.0,"神藤 駿介A4-6, P5-19○, C7-4, D5-4"
10,1,1.0,保森 智彦P3-11
11,1,1.0,藤田 葵P8-19○
12,2,1.0,"Cheng, Yun-NunD4-1"
13,2,1.0,"Zhao, Zi ChengB3-5"
14,1,1.0,芝原 隆善P6-24J○
15,5,1.2,"Q4-6, シバ柴田 圭悟P2-8, 池田 航P2-8○, Q4-18, Q4-18○"
16,30,1.6333333333333333,"C10-1, Q8-21, Q6-24, Q2-21, Q3-23"
17,1,1.0,柴田 行輝A8-5
18,1,1.0,高瀬 翔C8-4
19,4,1.0,"E1-2○, 永田 亮E1-1, P3-10, B10-1"
20,1,1.0,鈴木 偉士Q4-7○
21,4,1.25,"P10-24, Kertkeidkachorn, NatthawutP7-3, シラ白井 清昭P7-3"
22,11,1.1818181818181819,"Q3-12, Q5-10, C8-5, C4-4, P6-25J"
23,1,1.0,中辻 真Q1-4
44,17,1.5294117647058822,"Q7-20, Q6-6, P7-21, P5-12, Q7-22"
25,5,1.4,"C4-5, P6-16○, 乙村 浩太郎C4-3, 岡部 健太C4-3○, 中村 光貴C4-3"
26,5,1.0,"P2-10, 趙 羽風A7-4○, Q3-16, P2-5○, Q8-17"
27,2,1.0,"マル丸山 拓海Q7-2○, P8-14"
28,2,1.0,"内海 慶D1-4, B10-5○"
29,1,1.0,松下 祐介P8-20
30,1,1.0,コバ小早川 健Q4-16○
31,5,1.4,"P3-15, P10-21, P1-4, 北岡 教英D3-1, 坪倉 和哉D3-1○"
32,4,1.25,"Q8-3, QinP6-6, Dai, 有馬 幸介Q3-13"
33,3,1.0,"ミナ南 泰浩Q7-19, P10-7, Q8-4"
34,1,1.0,ハセ長谷井 嬢P6-2
35,1,1.0,イナ伊奈 拓郎P8-11
36,2,1.0,"イデ井手 佑翼Q4-20, Q9-11○"
37,1,1.0,片上 大輔D7-1
38,1,1.0,白井 穂乃Q9-24J
39,1,1.0,深山 覚C7-2
40,2,1.0,"A2-5, 峯島 宏次B1-2"
41,2,1.0,"Lu, JieP7-15"
42,1,1.0,山岡 洸瑛C7-2
43,6,1.3333333333333333,"E8-3, E8-6, 西田 知史B3-2, 綿引 周A4-2, E8-6○"
45,1,1.0,C3:マルチモーダル(1)
46,17,1.5294117647058822,"P6-8, B6-2, P6-24J, 松本 裕治B6-1, P6-7"
47,3,1.0,"E10-3○, P2-7, 栗林 樹生D5-4"
48,1,1.0,ホシ星野 翔Q6-18
49,1,1.0,伊東 賢二P3-13
50,3,1.3333333333333333,"MuhammadP9-3, Sibtain, Arsalan"
51,2,1.0,"福島 遥B2-2, P4-4○"
52,1,1.0,有田 隼也Q5-12
53,1,1.0,張 引E6-2
54,13,1.3846153846153846,"Q3-20, P5-22, P5-17, Q7-24J, C5-1"
55,2,1.0,"KotaQ3-20, Iura"
56,5,1.0,"Q3-6, EdisonQ2-9, P9-11○, Q3-17, Marrese-Taylor"
