Author,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
,262,0.02719797596457938,0.02753447059877212,0.6172494121698682,0.011272353996398456,0
Wang,11,0.004427577482605946,2.2411021740491974e-05,9.853320895727849e-16,0.0030836168684218136,325
B6-2,9,0.008538899430740038,0.005065110832252099,0.0410825538493877,0.0027019918166804615,88
C10-1,9,0.007273877292852625,0.005887467117445023,0.013527051880938763,0.002397928077699361,19
P6-8,9,0.006008855154965212,0.0015182417017939648,0.012498042954081837,0.0021254155831024356,88
Chen,6,0.0018975332068311196,3.0014761259587465e-06,1.3949194598998837e-22,0.0018075570885772746,175
P8-18,5,0.0056925996204933585,0.007209223678023034,0.03617607634247083,0.0017980165237329593,79
P3-15,7,0.003795066413662239,1.9409545614533226e-05,1.889692953818801e-12,0.0016904115585607681,229
Li,7,0.0028462998102466793,0.0009172511040929929,0.002883143815922397,0.0016879720708815717,19
A6-4,7,0.003795066413662239,0.0010374101983355415,2.2581363973169932e-05,0.001561722657971662,83
Q2-12,5,0.004427577482605946,0.001875333197957665,8.690485743509254e-05,0.0015585499765546718,478
Yang,5,0.0015812776723592662,2.0009840839724975e-06,9.540822363396892e-24,0.0015520730210309482,163
Q8-13,5,0.004111321948134092,0.0020711185761157335,0.009263620618430496,0.0015371331668338436,77
A8-5,5,0.003795066413662239,0.0007798835467282809,2.5596428414895844e-05,0.0015205906701367285,83
P4-1,4,0.0028462998102466793,1.3006396545821235e-05,3.174931294386306e-16,0.0015127785252832292,178
C9-1,3,0.006325110689437065,0.003646520434174104,0.12137126205599104,0.0014663189769769732,254
P8-3,6,0.0056925996204933585,3.82473814907886e-05,9.345851951127516e-05,0.0014580742375049696,50
Q6-6,4,0.0031625553447185324,0.0024412672819159125,0.009562351395789238,0.0014393605948358954,220
P8-14,5,0.003795066413662239,0.0007854196026939381,0.011014536090593018,0.0014004060359211804,79
P7-4,5,0.004427577482605946,7.983926495050265e-05,3.3739599255079946e-08,0.0013752915765174712,45
P2-1,4,0.004111321948134092,0.0011745776572918561,0.03240209797279637,0.0013584523893644465,23
P5-22,3,0.004427577482605946,0.002106489145965158,0.0377170730979477,0.001331231948271526,23
E4-4,5,0.003795066413662239,0.0015596003447828975,0.08048409671355175,0.0013140224400779246,2
P8-15,5,0.003478810879190386,0.0003946274110941095,0.010862618963779203,0.0013107281616189775,79
Huang,4,0.004111321948134092,0.0006104001948158104,0.00285972103884015,0.0013068332811079558,69
Q7-20,4,0.0028462998102466793,0.0009153168194784862,0.0014213562185601948,0.001284815539168583,220
P6-14,5,0.002530044275774826,0.001045214036263034,0.0035711909711884293,0.0012635071475248676,23
B6-3,4,0.005060088551549652,0.00144369725445449,0.0616856878979063,0.0012444733411150744,254
P6-2,5,0.003795066413662239,0.0005791920139096081,0.03141003520403737,0.0012247892645072464,88
B10-4,3,0.004111321948134092,0.0011971345444197394,0.013349886349544822,0.0012235052427694091,23
P4-18,4,0.0031625553447185324,0.0005246913765523217,0.010768786332686376,0.001220765636055675,79
D9-2,4,0.003795066413662239,0.0006555223859093902,0.0027195996539224865,0.0012095316708985633,69
A8-3,3,0.004743833017077799,0.003078614062395886,0.010124979466644517,0.0011927794796703331,69
P7-8,6,0.003478810879190386,0.0005254584204511779,0.028632555368805355,0.0011725532772996307,79
P9-2,5,0.002530044275774826,1.900934879773873e-05,1.6755745443327922e-14,0.0011699252822164263,256
B2-5,5,0.003795066413662239,0.0016825274670082746,0.10340965563997846,0.001169069977413167,219
P5-3,4,0.002213788741302973,3.2015745343559962e-06,9.339674809617326e-18,0.0011683319402534433,85
E8-3,5,0.002213788741302973,0.0009160505136426094,0.0013080978504211103,0.001165485931111598,23
