Community_ID,Size,Avg_Papers,Top_Authors
0,86,4.604651162790698,", D7-4, B4-5, B4-3, E6-1"
1,1,1.0,から構築される日本語音声コーパス
2,14,1.8571428571428572,"E4-4, B2-4, D8-3, P2-20, A5-2"
3,3,1.0,"C12-5, C12-2, 加藤祥太Q4-9○"
4,1,1.0,C1:言語資源・アノテーションと評価
478,47,1.6170212765957446,"Q2-12, C7-5, C8-5, Reisert, P4-12"
6,5,1.6,"C7-4, D5-4, P5-19○, 神藤 駿介A4-6, 中川慧P3-20"
7,2,1.0,"Hamori, ShigeyukiP7-6"
8,5,1.4,"Song, A4-4○, HaiyueA4-3, HuachengD11-3, HaiyueQ3-7○"
9,1,1.0,保森 智彦P3-11
23,69,1.7681159420289856,"P2-1, P5-22, P6-14, B10-4, E8-3"
11,1,1.0,A3:機械翻訳(3)Zoom
12,1,1.0,井上昂治B10-4
13,1,1.0,林部祐太P8-12○
14,2,1.0,"P3-17○, 松本忠博P1-11"
269,45,1.8666666666666667,"P7-14, P2-11, P7-15, Q4-13, E7-4"
16,1,1.0,新保彰人A7-2○
17,3,1.3333333333333333,"P9-9, 西口純代P3-10○, P7-13○"
18,1,1.0,佐藤俊P6-18○
19,54,1.7962962962962963,"C10-1, Li, Q8-21, Q3-2, A10-3"
20,2,1.0,"IffatP8-27○, Maab"
21,2,1.0,"YvesB8-4, LEPAGE"
22,2,1.0,"内海 慶D1-4, B10-5○"
25,4,1.5,"P9-23, オヤ小山田昌史P8-4, P9-20, エノ榎本昌文P9-20○"
26,2,1.0,"DanielD2-6, Plesniak"
27,1,1.0,橋本隆子A10-1
28,1,1.0,宮西大樹H12-5
29,8,1.0,"奥田 奈津子, 亀甲 博貴, 森 信介, 小野 富三人, ○西村 太一"
30,3,1.0,"P10-7, Q8-4, ミナ南 泰浩Q7-19"
31,2,1.0,"Lin, Pei-ChunD6-3"
32,1,1.0,ムラ村井源P2-17
33,2,1.0,"A2-5, 峯島 宏次B1-2"
34,1,1.0,A8:LLM分析評価(4)
35,1,1.0,C6:教育応用(2)
36,1,1.0,廣中詩織A4-5
37,1,1.0,コヤ小谷野華那D1-4○
38,3,1.3333333333333333,"Qiao, GangD8-3, GangA9-3"
39,3,1.3333333333333333,"MuhammadP9-3, Sibtain, Arsalan"
40,1,1.0,落合哉人Q10-1○
45,36,1.5277777777777777,"P7-4, Q4-10, P12-13, Q4-25, P8-7"
43,4,1.0,"鈴木潤, 水本智也 (フューチャー/理研), Labs), 乾健太郎"
44,1,1.0,今里 昂樹P9-14○
79,55,1.8909090909090909,"P8-18, P8-14, P8-15, P4-18, P7-8"
47,1,1.0,クサ草野 元紀P8-15○
48,1,1.0,スミ角康之P5-3
49,2,1.0,"石原祥太郎Q2-2○, D11-2"
50,26,1.6923076923076923,"P8-3, P3-10, B10-1, H6-1, H12-1"
51,4,1.25,"D12-1, 峯島宏次D1-4, Q6-12, D2-4"
52,1,1.0,サシ指田 昌樹A8-6○
53,1,1.0,林 拓哉Q9-16○
54,25,1.6,"P6-11, Q7-10, Q10-2, C10-5, P2-6"
55,1,1.0,招待論文A会場(メインホール)
56,1,1.0,佐藤 貴俊Q5-12
57,2,1.0,"辻本 陵Q2-12, P5-2○"
58,1,1.0,ワタ渡邉寛大P8-1○
59,1,1.0,仁科喜久子P3-17
60,4,1.25,"Q9-6, Q5-25J, オク奥村 学B8-4, ヒラ平尾 努P1-23"
61,4,1.5,"P8-26, ウノ宇野裕C11-1, 柴田大作C11-1, 北出祐C11-1"
69,60,1.7,"Huang, D9-2, A8-3, D7-3, A10-2"
63,1,1.0,笹沢裕一H3-2○
65,9,1.3333333333333333,"B8-1, P2-7, Q8-13○, クド工藤慧音A5-4, H2-1"
66,1,1.0,C3:埋め込み表現(1)
67,1,1.0,ミズ水木栄C3-1○
68,1,1.0,カザ風間健太郎P10-16○
70,3,1.3333333333333333,"Thanh, Bui TuanB3-1○, Bui TuanA2-5○"
71,2,1.0,"Ganbat, NaranbuuveiP2-23○"
72,3,1.0,"Q6-13○, 杉本 侑嗣B4-1, E10-2○"
73,1,1.0,松下佳世A6-3
74,4,1.25,"B7-6, 福田 悟志B7-5, P8-8○, ナン難波 英嗣B7-5"
75,1,1.0,小林 健一Q8-19
76,1,1.0,佐藤拓真E3-5○
77,19,1.631578947368421,"Q8-13, P7-6, Q2-3, 関根 聡C10-2, Q2-4"
78,1,1.0,ウツ内海祥雅A4-1
81,1,1.0,タナ田中 邦朋P1-23○
82,1,1.0,ノリ則竹 理宇Q10-6
83,36,1.7777777777777777,"A6-4, A8-5, P2-23, A8-2, P10-2"
84,1,1.0,橋本 隆子Q7-21
85,8,1.375,"P5-3, オヤ小山田 昌史A1-5, Q4-14, Q4-23, Yuyang"
86,1,1.0,サキ崎野 也真人C8-1
87,3,1.6666666666666667,"P8-11, アリ有木康雄P8-4, タキ滝口哲也P8-4"
88,55,1.9272727272727272,"B6-2, P6-8, P6-2, C4-1, Liu"
89,1,1.0,トリ鳥井修P5-4
90,1,1.0,ミツ三野星弥B11-5○
91,1,1.0,石田希望C8-2
92,2,1.0,"松本裕治 (理研), 渡辺太郎 (NAIST)"
93,2,1.0,"P2-4○, 岡 佑依A1-3"
94,3,1.3333333333333333,"H10-4, イソ磯暁B5-2, チカ近添淳一B5-2"
95,1,1.0,A5:知識獲得
96,1,1.0,杉山宏輝P5-3○
97,2,1.0,"ニイ新国佳祐Q10-5, Q10-11"
98,2,1.0,"Feng, XincanC4-2○"
99,1,1.0,ゴーゴー チュイリンE1-3○
100,2,1.0,"藤田 澄男Q2-1, Q2-10"
