Source,Target,Weight,Type
,PH1-13,1,Undirected
,PT1-17,1,Undirected
,PH1-5,1,Undirected
,PH1-7,1,Undirected
,PH3-1,1,Undirected
,PT3-3○,1,Undirected
,E2-1,1,Undirected
,E3-2,1,Undirected
,C4-3,2,Undirected
,E4-1,1,Undirected
,B5-1,1,Undirected
,F5-2,2,Undirected
,E6-4,1,Undirected
,PT3-4,1,Undirected
,C5-1,1,Undirected
,G5-4,2,Undirected
,D3-5,1,Undirected
,PT2-4○,1,Undirected
,PH3-11,1,Undirected
,PT4-3,1,Undirected
,F5-3,1,Undirected
,C6-3,1,Undirected
,PH3-6,1,Undirected
,B7-1,1,Undirected
,E4-4,1,Undirected
,D5-3,3,Undirected
,G4-1,1,Undirected
,PH3-8,2,Undirected
,PT3-14,1,Undirected
,C7-3,1,Undirected
,PT2-7○,1,Undirected
,B3-4,1,Undirected
,B3-5,1,Undirected
,E2-2,1,Undirected
,C4-5,1,Undirected
,E6-1,1,Undirected
,PH4-12,1,Undirected
,A5-4,1,Undirected
,D5-1,1,Undirected
,PT2-6,1,Undirected
,B6-1,1,Undirected
,PT1-8,1,Undirected
,PT1-13,1,Undirected
,C2-3,2,Undirected
,C3-1,2,Undirected
,PH3-9,1,Undirected
,PH4-2,1,Undirected
,B2-5,1,Undirected
,F3-1,1,Undirected
,A3-1○,1,Undirected
,E3-3,1,Undirected
,B5-5,1,Undirected
,E5-3,1,Undirected
,PH1-15,2,Undirected
,PH2-8,1,Undirected
,C6-2,2,Undirected
,PT4-17,1,Undirected
,E2-4,2,Undirected
,C3-5,1,Undirected
,D5-2,2,Undirected
,G2-2,1,Undirected
,E4-5,1,Undirected
,C5-4,1,Undirected
,C6-1,1,Undirected
,D5-5,1,Undirected
,PT3-7,1,Undirected
,B4-1,1,Undirected
,B5-2,1,Undirected
,C3-5○,1,Undirected
,C6-4,1,Undirected
,PH4-10,1,Undirected
,PT1-16,1,Undirected
,PH4-1,1,Undirected
,PH3-10,1,Undirected
,B4-2,1,Undirected
,B4-3,1,Undirected
,PH1-10,1,Undirected
,E6-5,1,Undirected
,PH4-7,1,Undirected
,PH1-3,1,Undirected
,PT2-5,1,Undirected
,B4-5,1,Undirected
,F6-5,1,Undirected
,F2-4,1,Undirected
,F4-3,1,Undirected
,C5-2,1,Undirected
P2-20,松崎拓也P1-2,1,Undirected
P2-20,B2-4,1,Undirected
P2-20,C2-2,1,Undirected
P2-20,E4-4,1,Undirected
P2-20,A5-2,1,Undirected
C12-5,加藤祥太Q4-9○,1,Undirected
C12-5,C12-2,1,Undirected
佐藤 志貴D4-2,P9-10,1,Undirected
