Id,Label,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
,,262,0.02719797596457938,0.02753447059877212,0.6172494121698682,0.011272353996398456,0
から構築される日本語音声コーパス,から構築される日本語音声コーパス,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,1
P2-20,P2-20,2,0.0015812776723592662,0.0,0.012896574666832288,0.0005531509156615698,2
C12-5,C12-5,1,0.0006325110689437065,0.0,2.6414752193124076e-25,0.0005301367508456396,3
C1:言語資源・アノテーションと評価,C1:言語資源・アノテーションと評価,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,4
佐藤 志貴D4-2,佐藤 志貴D4-2,1,0.0009487666034155598,0.0,2.369522600004959e-06,0.000491860787253917,478
P5-19○,P5-19○,1,0.0009487666034155598,0.0,8.650546906057989e-20,0.0005527347797626042,6
Hamori,Hamori,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,7
Song,Song,3,0.001265022137887413,1.0004920419862488e-06,3.019256981584934e-23,0.0010251628591759722,8
保森 智彦P3-11,保森 智彦P3-11,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,9
B10-4,B10-4,3,0.004111321948134092,0.0011971345444197394,0.013349886349544822,0.0012235052427694091,23
B10-3,B10-3,1,0.001265022137887413,0.0,0.011944508522805545,0.0004869630264777458,2
A3:機械翻訳(3)Zoom,A3:機械翻訳(3)Zoom,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,11
井上昂治B10-4,井上昂治B10-4,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,12
林部祐太P8-12○,林部祐太P8-12○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,13
P3-17○,P3-17○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,14
D3-4,D3-4,3,0.002530044275774826,0.0045196899632886185,0.0021788962797671158,0.0007030979008947751,269
新保彰人A7-2○,新保彰人A7-2○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,16
P9-9,P9-9,2,0.0006325110689437065,0.0,2.6414752193124076e-25,0.0005301367508456396,17
佐藤俊P6-18○,佐藤俊P6-18○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,18
Ma,Ma,3,0.002213788741302973,0.004729325882468998,0.0055738262979825315,0.0007314669503337997,19
IffatP8-27○,IffatP8-27○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,20
YvesB8-4,YvesB8-4,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,21
内海 慶D1-4,内海 慶D1-4,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,22
村脇有吾C3-3,村脇有吾C3-3,1,0.00031625553447185326,0.0,0.00012753495111078283,0.00022139470710046024,23
P9-22,P9-22,1,0.0006325110689437065,0.0,0.0003115637068703288,0.00041584779236528277,19
オヤ小山田昌史P8-4,オヤ小山田昌史P8-4,1,0.0006325110689437065,0.0,2.5681427277530367e-24,0.000521441264648247,25
DanielD2-6,DanielD2-6,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,26
橋本隆子A10-1,橋本隆子A10-1,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,27
宮西大樹H12-5,宮西大樹H12-5,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,28
奥田 奈津子,奥田 奈津子,1,0.002213788741302973,0.0,7.701309265349711e-08,0.0005301367508456395,29
P10-7,P10-7,1,0.0006325110689437065,0.0,2.6414752193124076e-25,0.0005301367508456396,30
Lin,Lin,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,31
ムラ村井源P2-17,ムラ村井源P2-17,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,32
A2-5,A2-5,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,33
A8:LLM分析評価(4),A8:LLM分析評価(4),1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,34
C6:教育応用(2),C6:教育応用(2),1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,35
廣中詩織A4-5,廣中詩織A4-5,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,36
Q10-21,Q10-21,2,0.002530044275774826,0.00017495672192652164,0.007626958391608231,0.0007367294126512503,19
コヤ小谷野華那D1-4○,コヤ小谷野華那D1-4○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,37
E7-1,E7-1,2,0.003478810879190386,0.001466021306738972,0.00048737861486369436,0.0009345096363399632,269
Qiao,Qiao,2,0.0006325110689437065,2.0009840839724976e-07,4.319404593286063e-29,0.0007856208183919667,38
Sibtain,Sibtain,1,0.00031625553447185326,0.0,3.0542802786008963e-29,0.00040239471707247603,39
落合哉人Q10-1○,落合哉人Q10-1○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,40
D10-3,D10-3,1,0.0015812776723592662,0.0,0.00518353449319843,0.0005421069453396366,23
Q3-17,Q3-17,1,0.001265022137887413,0.0,2.3701895325772944e-09,0.0004859943925674111,45
水本智也 (フューチャー/理研),水本智也 (フューチャー/理研),1,0.0009487666034155598,0.0,3.5021499867751664e-20,0.0005301367508456393,43
今里 昂樹P9-14○,今里 昂樹P9-14○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,44
Q4-10,Q4-10,3,0.0028462998102466793,9.504674398869364e-06,2.8764638872838236e-08,0.0009974226102653183,45
P7-2,P7-2,2,0.0009487666034155598,0.0,0.0013387522868493244,0.0003579702201205928,79
クサ草野 元紀P8-15○,クサ草野 元紀P8-15○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,47
A5-2,A5-2,2,0.0015812776723592662,0.0,0.012896574666832288,0.0005531509156615698,2
スミ角康之P5-3,スミ角康之P5-3,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,48
石原祥太郎Q2-2○,石原祥太郎Q2-2○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,49
H6-1,H6-1,2,0.002530044275774826,2.858548691389282e-08,5.9361136075663076e-05,0.0007008312982400236,50
峯島宏次D1-4,峯島宏次D1-4,1,0.0009487666034155598,0.0,3.5021499867751664e-20,0.0005301367508456393,51
サシ指田 昌樹A8-6○,サシ指田 昌樹A8-6○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,52
林 拓哉Q9-16○,林 拓哉Q9-16○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,53
E8-3,E8-3,5,0.002213788741302973,0.0009160505136426094,0.0013080978504211103,0.001165485931111598,23
P2-4,P2-4,3,0.0009487666034155598,0.00013166475272539032,9.539969277134663e-06,0.0005144649903890715,54
招待論文A会場(メインホール),招待論文A会場(メインホール),1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,55
佐藤 貴俊Q5-12,佐藤 貴俊Q5-12,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,56
辻本 陵Q2-12,辻本 陵Q2-12,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,57
ワタ渡邉寛大P8-1○,ワタ渡邉寛大P8-1○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,58
P5-19,P5-19,2,0.002213788741302973,0.0,4.014946879079023e-05,0.0005154591815158924,50
仁科喜久子P3-17,仁科喜久子P3-17,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,59
ヒラ平尾 努P1-23,ヒラ平尾 努P1-23,1,0.00031625553447185326,0.0,1.3847139825946423e-24,0.00029976367190379485,60
ウノ宇野裕C11-1,ウノ宇野裕C11-1,1,0.00031625553447185326,0.0,4.495861060346389e-27,0.00035981403914808817,61
D1-4○,D1-4○,1,0.002213788741302973,0.0,0.02374010305313908,0.0005300214457424659,69
笹沢裕一H3-2○,笹沢裕一H3-2○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,63
P10-27,P10-27,1,0.0006325110689437065,0.0,9.436748364400563e-07,0.00034255773533365796,50
栗林 樹生D5-4,栗林 樹生D5-4,1,0.0006325110689437065,0.0,1.6266734547782136e-17,0.0003713117861126309,65
C3:埋め込み表現(1),C3:埋め込み表現(1),1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,66
ミズ水木栄C3-1○,ミズ水木栄C3-1○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,67
カザ風間健太郎P10-16○,カザ風間健太郎P10-16○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,68
P5-16,P5-16,2,0.002530044275774826,0.0,0.00845392610001728,0.0006157559091173149,69
Bui TuanB3-1○,Bui TuanB3-1○,1,0.00031625553447185326,0.0,3.0542802786008963e-29,0.000402394717072476,70
Ganbat,Ganbat,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,71
Q6-13○,Q6-13○,1,0.0006325110689437065,0.0,2.6414752193124076e-25,0.0005301367508456396,72
松下佳世A6-3,松下佳世A6-3,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,73
ナン難波 英嗣B7-5,ナン難波 英嗣B7-5,1,0.00031625553447185326,0.0,1.3847139825946423e-24,0.00029976367190379485,74
小林 健一Q8-19,小林 健一Q8-19,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,75
佐藤拓真E3-5○,佐藤拓真E3-5○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,76
関根 聡C10-2,関根 聡C10-2,1,0.0018975332068311196,0.0,0.0017931225946132842,0.0006200210918447906,77
ウツ内海祥雅A4-1,ウツ内海祥雅A4-1,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,78
P7-8,P7-8,6,0.003478810879190386,0.0005254584204511779,0.028632555368805355,0.0011725532772996307,79
P7-25,P7-25,3,0.002213788741302973,0.0005248581252259861,0.0013124672628592414,0.0009309189650928347,79
タナ田中 邦朋P1-23○,タナ田中 邦朋P1-23○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,81
ノリ則竹 理宇Q10-6,ノリ則竹 理宇Q10-6,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,82
A11-4○,A11-4○,1,0.0009487666034155598,0.0,5.242190856755957e-06,0.00035472906354816936,83
橋本 隆子Q7-21,橋本 隆子Q7-21,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,84
オヤ小山田 昌史A1-5,オヤ小山田 昌史A1-5,1,0.0009487666034155598,0.0,6.088166519040241e-18,0.0005108650048385698,85
P5-17,P5-17,3,0.001265022137887413,6.573232715849654e-05,0.003768360511240757,0.0006001159227969995,23
サキ崎野 也真人C8-1,サキ崎野 也真人C8-1,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,86
アリ有木康雄P8-4,アリ有木康雄P8-4,1,0.00031625553447185326,0.0,3.0542802786008963e-29,0.000402394717072476,87
ShanshanQ2-11○,ShanshanQ2-11○,1,0.0009487666034155598,0.0,0.0008353881508677285,0.0004137410807713164,88
トリ鳥井修P5-4,トリ鳥井修P5-4,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,89
ミツ三野星弥B11-5○,ミツ三野星弥B11-5○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,90
石田希望C8-2,石田希望C8-2,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,91
松本裕治 (理研),松本裕治 (理研),1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,92
P2-4○,P2-4○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,93
イソ磯暁B5-2,イソ磯暁B5-2,1,0.00031625553447185326,0.0,3.0542802786008963e-29,0.000402394717072476,94
A5:知識獲得,A5:知識獲得,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,95
杉山宏輝P5-3○,杉山宏輝P5-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,96
ニイ新国佳祐Q10-5,ニイ新国佳祐Q10-5,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,97
H3-4,H3-4,1,0.0018975332068311196,0.0,2.5067881282055478e-08,0.0005582011482145022,45
Feng,Feng,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,98
ゴーゴー チュイリンE1-3○,ゴーゴー チュイリンE1-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,99
藤田 澄男Q2-1,藤田 澄男Q2-1,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,100
中川 隼三郎D2-5○,中川 隼三郎D2-5○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,101
中村 友彦C7-2,中村 友彦C7-2,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,102
クロ黒木裕鷹D9-3,クロ黒木裕鷹D9-3,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,103
長井慶成Q4-13○,長井慶成Q4-13○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,104
竹中 誠A6-6○,竹中 誠A6-6○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,105
C4-1,C4-1,3,0.003478810879190386,0.0004109773567592933,0.030855057720059757,0.0011449324582510846,88
Bhattacharjee,Bhattacharjee,1,0.0006325110689437065,0.0,1.7783370971171424e-09,0.00030893930706514213,45
A10-5,A10-5,1,0.0015812776723592662,0.0,2.6721694878661757e-12,0.0006042802103547779,106
青木 洸士郎E8-2○,青木 洸士郎E8-2○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,107
